"","z"
"47x2553","1"
"69x6221","1"
"84x2248","1"
"117x54","1"
"157x3715","1"
"112x161","1"
"108x274","1"
"150x2720","1"
"184x507","1"
"209x4104","1"
"225x3964","1"
"327x4330","1"
"278x3599","1"
"374x5376","1"
"411x5024","1"
"437x5249","1"
"431x4591","1"
"455x2706","1"
"561x138","2"
"538x5785","1"
"530x2833","1"
"539x2954","1"
"587x1839","2"
"606x6172","1"
"622x6005","1"
"621x686","2"
"608x6495","1"
"675x2050","2"
"718x5878","1"
"682x3065","1"
"683x6467","1"
"662x445","2"
"691x2692","1"
"683x340","2"
"678x3620","1"
"754x144","2"
"792x1030","2"
"806x1748","2"
"809x742","2"
"840x3681","1"
"878x4498","1"
"956x674","2"
"942x433","2"
"952x2048","2"
"977x1702","2"
"1061x2466","2"
"1002x133","2"
"1088x1005","2"
"1129x1221","2"
"1097x2692","2"
"1154x5139","1"
"1138x597","2"
"1157x336","2"
"1171x2099","2"
"1157x1675","2"
"1198x98","2"
"1267x1251","2"
"1286x1631","2"
"1299x545","2"
"1293x5715","1"
"1320x173","2"
"1318x2259","2"
"1342x1797","2"
"1330x3737","2"
"1423x1461","2"
"1408x3009","2"
"1455x455","2"
"1461x832","2"
"1474x4321","2"
"1478x278","2"
"1491x1905","2"
"1498x4095","2"
"1548x2758","2"
"1560x1209","2"
"1580x2072","2"
"1628x5252","1"
"1681x4677","2"
"1640x582","2"
"1668x1710","2"
"1646x3610","2"
"1709x1918","2"
"1716x5810","2"
"1702x374","2"
"1696x805","2"
"1701x1113","2"
"1720x2478","2"
"1796x5571","2"
"1749x3980","2"
"1852x4926","2"
"1823x6241","2"
"1829x1040","2"
"1880x871","2"
"1823x1296","2"
"1881x1670","2"
"1862x4213","2"
"1893x85","2"
"1892x2110","2"
"1877x3488","2"
"1934x3072","2"
"1966x4085","2"
"2012x6546","2"
"2074x3627","2"
"2024x4665","2"
"2014x5422","2"
"2026x250","2"
"2048x1957","2"
"2102x3769","2"
"2078x4462","2"
"2048x6033","2"
"2055x2430","2"
"2110x4859","2"
"2112x5112","2"
"2200x3912","2"
"2126x1539","2"
"2168x4097","2"
"2102x2610","2"
"2201x6293","2"
"2200x3089","2"
"2262x1991","2"
"2251x5609","2"
"2244x63","2"
"2290x1082","2"
"2238x591","2"
"2293x3218","2"
"2273x5812","2"
"2302x5362","2"
"2313x4873","2"
"2338x216","3"
"2308x6005","2"
"2287x3523","2"
"2374x5157","2"
"2303x4422","2"
"2386x614","3"
"2423x1816","2"
"2387x6145","2"
"2412x395","3"
"2416x4152","2"
"2414x6332","2"
"2440x1302","2"
"2401x4700","2"
"2440x5876","2"
"2474x5515","2"
"2505x1637","2"
"2515x4351","2"
"2469x51","2"
